Number,Name,Address,Latitude,Longitude
18,18-VILNIAUS G.,Vilniaus g. – Islandijos g. sankryža,54.68300406,25.28001237
27,27-ŽALIASIS TILTAS,Kalvarijų g. – Žvejų g. sankryža,54.69221264,25.27933285
1,1-ARKIKATEDRA,Šventaragio g.,54.68590826,25.28560002
33,33-LIETUVOS VAIKŲ IR JAUNIMO CENTRAS,Konstitucijos pr. (šalia Lietuvos vaikų ir jaunimo centro),54.698543,25.26644
10,10-KALNŲ PARKAS,T. Kosciuškos g.,54.68866096,25.29316907
38,38-ŠILO TILTAS,Žirmūnų g. - Minties g. sankryža,54.705339,25.304181
23,23-EUROPOS A.,Konstitucijos pr. (Europos aikštė),54.69546047,25.2786606
25,25-PANORAMA,Saltoniškių g. (PC „Panorama“),54.69850622,25.25819165
5,5-FILHARMONIJA,Didžioji g. – Subačiaus g. sankryža,54.6762269,25.28861228
20,20-TRAKŲ,Pylimo g. (priešais kino teatrą „Lietuva“),54.6791769,25.27784234
28,28-OPEROS IR BALETO TEATRAS,A. Vienuolio g. – A. Goštauto g. sankryža,54.69049166,25.27821042
40,40-OGMIOS MIESTAS,Lukšio g. (Ogmios miestas),54.712375,25.29664
36,36-AUTOBUSŲ STOTIS,Geležinkelio g. – Stoties g. sankryža (šalia Autobusų stoties),54.67059724,25.28283084
29,29-ŽALGIRIO STADIONAS,Rinktinės g. – A. Juozapavičiaus g. sankryžą,54.69180897,25.28903636
26,26-EDUKOLOGIJOS UNIVERSITETAS,Upės g. – Studentų g. sankryža,54.695651,25.25728122
4,4-ŠV. KAZIMIERO BAŽNYČIA,Didžioji g.,54.67788858,25.28745212
11,11-KARALIAUS MINDAUGO,Žygimantų g.,54.68870707,25.28717553
21,21-VAŠINGTONO A.,J. Tumo-Vaižganto g. – Lukiškių a. sankryža,54.69207484,25.2711658
37,TEST STATION,Jočionių,54.691713,25.288714
6,6-HALĖS TURGAVIETĖ,Visų Šventųjų g. – Bazilijonų g. sankryža,54.67422353,25.2855307
19,19-S. NĖRIES GIMNAZIJA,Vokiečių g. – Dominikonų g. sankryža,54.68094054,25.28207902
15,15-M. MAŽVYDO BIBLIOTEKA,Gedimino pr. – Gynėjų g. sankryža,54.69008355,25.26344367
22,22-VCUP,Upės g. (šalia VCUP),54.6941691,25.27496123
17,17-P. CVIRKOS,Pamėnkalnio g. – Jogailos g. sankryža,54.68476062,25.27703073
12,12-V. KUDIRKOS A.,Gedimino pr. (V. Kudirkos aikštė),54.68727317,25.28012935
13,13-A. VIENUOLIO,Gedimino pr.,54.68785091,25.27663297
24,24-FORUM PALACE,Upės g. – G. Baravyko g. sankryža,54.69631647,25.26611228
3,3-K. SIRVYDO SKV.,Pilies g. – Bokšto g. sankryža,54.68093041,25.2884646
16,16-TAURO KALNAS,Pamėnkalnio g. – Tauro g. sankryža,54.68681715,25.27143064
7,7-STOTIS,Seinų g. – Geležinkelio st. sankryža,54.67115499,25.28417915
2,2-BARBOROS RADVILAITĖS,Pilies g. – Radvilaitės g. sankryža,54.68447055,25.28936958
39,39-ŠIAURĖS MIESTELIS,Žirmūnų g. - Lukšio g. sankryža,54.711357,25.304238
31,31-OLANDŲ ŽIEDAS,Antakalnio g. – Olandų g. žiedinė sankryža (šalia Šv. Petro ir Povilo bažnyčios),54.69332591,25.30506775
9,9-UŽUPIS,Užupio g. – Krivių g. sankryža,54.68114579,25.29904378
14,14-LUKIŠKIŲ A.,Gedimino av. – J. Tumo-Vaižganto str. crossing,54.68907997,25.26938954
8,8-MAIRONIO G.,Kūdrų g. – Maironio g. sankryža,54.67852,25.29385654
30,30-IKI MINSKAS,Žirmūnų g. – Tuskulėnų g. žiedinė sankryža (šalia PC IKI Minskas),54.69678393,25.29886217
35,35-VILNIAUS VARTAI,A. Tumėno g.,54.69181762,25.26346218